Name,java:S6437,java:S4426,java:S2755,java:S2115,java:S5527,java:S4830,java:S5542,java:S5445,java:S4423,java:S4433,secrets:S6706,java:S3329,CLS
b6ed9865d0614332fa419fe4b6d0fe81bc2e660d/DOMUtils.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
b0d1f4bc444485ed4bc9a0d9ff7a108f757aa2a0/TestTomcatSSL.java,0,0,0,0,0,2,0,0,1,0,0,0,neg
4eb4ddfd92667a0775f82ee37d0a2c51e8a29352/OAuth1TemplateTest.java,8,0,0,0,0,0,0,0,0,0,0,0,neg
5a711c05ec750f069235597173084c2ee796242/AbstractMarshaller.java,0,0,2,0,0,0,0,0,0,0,0,0,pos
f230486ce6707762c1a6e81655d0fac52887906d/TestXPathEntityProcessor.java,0,0,0,0,0,0,0,2,0,0,0,0,pos
8fcdb1aa3deb892691b44bdf57e8d780da09e2a4/FileTransfer.java,0,0,0,0,1,2,0,0,0,0,0,0,pos
8afc5d1757795fde715902067360af5d90f046d/SchemaReader.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
c3351d2e7c3edfee82b9470e9aa1168982296072/FilePath.java,0,0,0,0,0,0,0,1,0,0,0,0,pos
90c898335786211d253c0503453e2f8b93e0d3fe/DOMUtils.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
90c898335786211d253c0503453e2f8b93e0d3fe/XMLUtils.java,0,0,6,0,0,0,0,0,0,0,0,0,pos
9385b0ebd277724b167fe1d1456e3c112112be1f/ECIESTest.java,0,0,0,0,0,0,1,0,0,0,0,0,pos
f8e943f44961c14cf1316deb56280f7878702ee1/DefaultXMLFactoriesConfig.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
1ffa6d1c4555cab9737d76b49142528b57cfdfc/XmlUtils.java,0,0,4,0,0,0,0,0,0,0,0,0,pos
806949e1b3c22a3b31819a37402489a0303221a/DomReaderTest.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
34b7c2b07014b8e1e708361170146600db172491/CIMInstanceTest.java,0,0,0,0,0,0,0,0,1,0,0,0,pos
2c6964ae94d8f9a9c9a32e5ae5a0b794e8b8d3b/SchemaReader.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
a9aff088f327278a8873aef47fa8f80d3c5932fd/UsageStatistics.java,0,0,0,0,0,0,1,0,0,0,0,2,pos
696ec886a23dae880cf12e34e1fe09c5df8fe94/DomReaderTest.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
769477b9bc8442db3f571385fa0c3e206242cbf1/JspDocumentParser.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
6272639f02e397fed40828a2d0da66c30264bc0e/BaseWxPayResult.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
6272639f02e397fed40828a2d0da66c30264bc0e/WxCryptUtil.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
d59f36ce062b31be67221f6b668abaeb54011d49/NetconfAlarmTranslator.java,0,0,2,0,0,0,0,0,0,0,0,0,pos
c68e4820816c19241568f4a8fe8600bffb0243cd/OIDCTest.java,1,0,0,0,0,0,0,0,0,0,0,0,pos
4e67928412ad56333d400f3728ecdb59d07d9d63/XMLReaderUtils.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
21dcb3d9744c83dcf2ff8fcee06dbca7bfa4ef35/DHIESTest.java,0,0,0,0,0,0,1,0,0,0,0,0,pos
21dcb3d9744c83dcf2ff8fcee06dbca7bfa4ef35/ECIESTest.java,0,0,0,0,0,0,2,0,0,0,0,0,pos
0cb8ca03cec42120dcfc434561592d89a89a805e/SslEngineFacadeFactory.java,1,0,0,0,0,2,0,0,0,0,0,0,pos
edba32b3093703d5e9ed42b5b8ec23ecc1998398/AbstractMarshaller.java,0,0,2,0,0,0,0,0,0,0,0,0,pos
05c84ff8304a69a30b251f207a7b93c2c882564d/JspDocumentParser.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
c6503ebbf7c9e21ff022c58706dbac5417b2b5eb/AbstractMarshaller.java,0,0,2,0,0,0,0,0,0,0,0,0,pos
c6503ebbf7c9e21ff022c58706dbac5417b2b5eb/Jaxb2CollectionHttpMessageConverter.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
9137e6cc45922b529fb776c6857647a3935471bb/JndiLdapContextFactoryTest.java,2,0,0,0,0,0,0,0,0,0,0,0,pos
